Year ,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1960's,Jingle Jangle,The Archies,0.625,0.472,-11.18,0.0387,0.0368,0,0.148,0.617,109.302
1960's,Blue Autumn,Bobby Goldsboro,0.515,0.348,-12.457,0.0253,0.453,0.000227,0.339,0.266,92.746
1960's,Tell Him,The Exciters,0.708,0.616,-10.827,0.198,0.445,0,0.299,0.908,177.061
1960's,Out Of Limits,The Marketts,0.485,0.779,-14.235,0.039,0.367,0.432,0.18,0.483,133.223
1960's,The Letter,The Box Tops,0.638,0.428,-12.156,0.0687,0.252,0,0.132,0.901,139.434
1960's,Canción Mixteca (Qué Lejos Estoy),Guty Cárdenas,0.468,0.102,-17.171,0.0381,0.995,0.000853,0.166,0.312,165.59
1960's,Just A Little Bit Better,Herman's Hermits,0.622,0.644,-7.484,0.0367,0.586,0,0.0594,0.666,139.166
1960's,Black Verse - Part 2,Langston Hughes,0.614,0.151,-13.432,0.866,0.636,0,0.507,0.463,63.642
1960's,People Are Strange,The Doors,0.699,0.467,-8.578,0.0375,0.685,0,0.315,0.764,119.287
1960's,Let It Out (Let It All Hang Out),The Hombres,0.604,0.505,-12.404,0.0487,0.146,0.000286,0.0975,0.707,121.588
1960's,Mexican Highway,Syd Dale,0.78,0.429,-11.808,0.0445,0.217,0.0247,0.11,0.904,146.477
1960's,Comment te dire adieu - Remasterisé en 2016,Françoise Hardy,0.711,0.586,-9.78,0.0514,0.435,6.48e-06,0.15,0.931,124.058
1960's,Medley: Mode D-Trio and Group Dancers/Mode E- Single solos and Group Dance/ModeF-Group and Solo Dance,Charles Mingus,0.304,0.519,-8.825,0.0359,0.21,0.00187,0.221,0.294,101.289
1960's,Sebastiana,Gilberto Gil,0.567,0.539,-13.61,0.126,0.292,0,0.0594,0.933,138.105
1960's,Bold Soul Sister,Ike & Tina Turner,0.775,0.688,-12.959,0.0699,0.224,0.0411,0.117,0.93,94.143
1960's,Départ de Renaud,André Hossein,0.145,0.167,-21.377,0.0289,0.807,0.0506,0.117,0.117,84.766
1960's,Seventh Heaven,The Hippy Boys,0.87,0.546,-13.393,0.0572,0.247,0.849,0.104,0.929,135.676
1960's,"The Young Person's Guide to the Orchestra, Op. 34 (Variations and Fugue on a Theme of Purcell): Theme A. Allegro maestoso e largamente",Benjamin Britten,0.559,0.121,-19.291,0.443,0.888,0,0.651,0.443,82.343
1960's,Leader Of The Laundromat,The Detergents,0.444,0.621,-9.138,0.271,0.697,2.51e-06,0.108,0.52,141.465
1960's,Ain't That Just Like Me,The Searchers,0.371,0.929,-5.37,0.133,0.646,0,0.348,0.836,157.875
1960's,Searching For My Love,Bobby Moore & The Rhythm Aces,0.677,0.661,-5.136,0.0436,0.114,5.44e-06,0.215,0.801,98.309
1960's,Till You Return,Scott Walker,0.57,0.551,-4.373,0.0283,0.689,5.88e-05,0.332,0.734,127.195
1960's,"Madama Butterfly, Act I: Quanto cielo!....Ancora un passo or via (Coro/Butterfly/Sharpless) - 1986 Remastered Version",Giacomo Puccini,0.145,0.187,-17.613,0.0404,0.942,0.00277,0.0958,0.039,86.726
1960's,"Past, Present And Future",The Shangri-Las,0.349,0.208,-15.491,0.037,0.799,0.217,0.13,0.176,135.098
1960's,Atlantis,Donovan,0.326,0.313,-16.17,0.0348,0.177,0.000569,0.0828,0.344,76.785
1960's,The end of a spy - Fine di una spia,Ennio Morricone,0.211,0.578,-5.611,0.0465,0.864,0.907,0.11,0.0553,109.781
1960's,While I Was Walking,Tommy McCook,0.683,0.464,-12.06,0.0566,0.0859,0.0632,0.152,0.657,89.62
1960's,My Song,Aretha Franklin,0.458,0.25,-8.087,0.0324,0.461,0,0.136,0.412,121.074
1960's,Julia,Ramsey Lewis,0.471,0.579,-12.62,0.0278,0.123,0.68,0.429,0.386,93.206
1960's,Song of the Crib,Traditional,0.342,0.171,-16.481,0.0421,0.988,0,0.102,0.285,79.671
1960's,We Will Fall (John Cale Mix) - 2019 Remaster,The Stooges,0.205,0.398,-12.075,0.0322,0.163,6.48e-05,0.0542,0.0376,108.381
1960's,Femmina - Seq. 3,Carlo Savina,0.475,0.318,-12.671,0.0487,0.935,0.902,0.0736,0.167,81.85
1960's,Country Blues,Doc Watson,0.563,0.447,-15.218,0.0323,0.81,0.00484,0.186,0.743,127.384
1960's,La Virgen Lava Pañales,Traditional,0.18,0.196,-20.103,0.0361,0.981,0.217,0.153,0.0621,65.829
1960's,The Cave,Jerry Goldsmith,0.253,0.04,-25.433,0.0391,0.661,0.302,0.114,0.0379,93.606
1960's,Marcia - Marcetta,Ennio Morricone,0.122,0.331,-12.269,0.0339,0.824,0.453,0.105,0.0361,59.859
1960's,Mississippi River Blues,Bob Wills,0.597,0.29,-9.367,0.0507,0.821,0,0.287,0.377,107.706
1960's,Brazil (Aka Aquarela do Brasil),Antônio Carlos Jobim,0.519,0.38,-22.881,0.0378,0.384,0.889,0.0659,0.72,112.145
1960's,"Le nozze di Figaro, K.492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,0.218,0.0625,-22.482,0.0463,0.991,1.82e-05,0.427,0.0826,79.981
1960's,Canto Karabali,Ernesto Lecuona,0.343,0.364,-16.701,0.103,0.341,0.0966,0.0413,0.393,137.348
1960's,I Do,The Marvelows,0.543,0.715,-5.195,0.0579,0.752,0,0.107,0.862,99.055
1960's,Just Out Of Reach (Of My Two Empty Arms),Percy Sledge,0.374,0.148,-15.452,0.0305,0.467,7.25e-05,0.244,0.51,177.214
1960's,Guaguancó En Tropicana,Tito Puente,0.587,0.715,-5.48,0.115,0.482,0,0.0976,0.951,155.946
1960's,You Mean The World To Me,David Houston,0.585,0.377,-13.253,0.0407,0.856,0.053,0.105,0.431,120.386
1960's,Hum Allah Hum Allah Hum Allah,Pharoah Sanders,0.438,0.559,-10.725,0.0457,0.667,0.0161,0.0524,0.585,105.369
1960's,Alabam,Cowboy Copas,0.719,0.653,-11.572,0.0305,0.378,0.00364,0.129,0.96,106.718
1960's,In My Father's House - Live,Harry Belafonte,0.562,0.646,-10.697,0.0532,0.491,0,0.902,0.798,98.019
1960's,Tossing & Turning,The Ivy League,0.586,0.51,-9.072,0.0379,0.463,0,0.221,0.638,119.045
1960's,Mokka Jonna Thotalo,P. Susheela,0.62,0.599,-4.746,0.28,0.899,0.00182,0.156,0.835,157.555
1960's,"Hickory, Dick And Doc",Bobby Vee,0.7,0.626,-11.611,0.0315,0.72,6.55e-05,0.0974,0.964,112.826
1960's,Strange I Know,The Marvelettes,0.632,0.758,-3.414,0.0257,0.551,0.0446,0.173,0.948,109.427
1960's,Cara-Lin,The Strangeloves,0.748,0.788,-11.284,0.067,0.135,3.81e-06,0.501,0.626,130.506
1960's,Personne,Serge Gainsbourg,0.549,0.289,-16.129,0.0486,0.761,0,0.0694,0.45,111.828
1960's,"The Bartered Bride, Act II: ""Eine gibt es hier im Dorf""",Staatskapelle Dresden,0.354,0.123,-17.119,0.0398,0.977,0.000919,0.0962,0.096,129.039
1960's,Afternoon in Paris,Sonny Rollins,0.414,0.65,-9.028,0.0648,0.716,0.0252,0.291,0.51,175.245
1960's,Nothing But Heartaches,The Supremes,0.579,0.554,-8.896,0.0286,0.084,0,0.219,0.491,124.067
1960's,"God, Country And My Baby",Johnny Burnette,0.486,0.526,-9.835,0.0415,0.21,0.00183,0.604,0.585,121.157
1960's,Na Na Hey Hey Kiss Him Goodbye,Steam,0.637,0.916,-6.95,0.0458,0.0139,2.27e-05,0.21,0.506,114.987
1960's,"Heia, in den Bergen liegt mein Heimatland",Vienna State Opera Orchestra,0.135,0.324,-11.517,0.0339,0.887,0.824,0.379,0.0639,91.097
1960's,Psycho,Bobby Hendricks,0.648,0.539,-11.514,0.0503,0.836,0.0781,0.146,0.781,131.569
1960's,C'est Si Bon (It's So Good),Conway Twitty,0.58,0.617,-8.706,0.0493,0.727,0,0.393,0.831,120.496
1960's,She Loves You,The Beatles,0.377,0.916,-3.199,0.0481,0.26,0,0.074,0.912,75.533
1960's,Highway #2 (Travelin' Lady),Elmer Bernstein,0.567,0.762,-12.355,0.0306,0.0741,0.415,0.377,0.813,145.513
1960's,I Don't Know Why,Stevie Wonder,0.42,0.483,-13.608,0.033,0.165,0,0.111,0.533,93.834
1960's,Monster Monkey,John Zacherle,0.624,0.83,-4.854,0.151,0.618,0,0.187,0.828,87.597
1960's,Toada Da Saudade,Marinês E Sua Gente,0.638,0.453,-7.744,0.026,0.757,0,0.277,0.614,97.303
1960's,I Love You Because,Al Martino,0.29,0.2,-12.748,0.0275,0.894,0.000569,0.221,0.233,88.654
1960's,Ecstasy,Ben E. King,0.683,0.673,-10.406,0.0421,0.19,0,0.561,0.756,120.823
1960's,Amore mio aiutami - Version 4,Piero Piccioni,0.213,0.168,-20.315,0.0382,0.952,0.69,0.136,0.206,122.744
1960's,Yuri Approaches Lara's Apartment,Maurice Jarre,0.162,0.0383,-29.914,0.0375,0.242,0.354,0.205,0.0766,130.875
1960's,Don't Make Promises - Bonus Track,Krokodil,0.567,0.927,-5.687,0.0824,0.126,0.000196,0.123,0.462,113.898
1960's,Tómate una Copa,Javier Solís,0.394,0.18,-15.943,0.0355,0.965,0.00826,0.118,0.475,107.516
1960's,Can You Jerk Like Me,The Contours,0.556,0.742,-6.524,0.0524,0.612,2.6e-05,0.055,0.771,78.691
1960's,Angel,Johnny Tillotson,0.344,0.431,-9.631,0.0314,0.793,0,0.19,0.688,105.97
1960's,Alfie,Cilla Black,0.306,0.257,-10.658,0.0309,0.941,0.00654,0.118,0.157,145.148
1960's,Sur le chemin du retour,Charles Aznavour,0.566,0.511,-8.13,0.0353,0.773,0,0.299,0.747,127.417
1960's,Amore in fiore,Piero Piccioni,0.094,0.104,-22.329,0.0316,0.985,0.943,0.158,0.0817,76.555
1960's,Big Boy Pete,The Olympics,0.616,0.736,-9.156,0.058,0.83,0.0156,0.117,0.818,131.501
1960's,"Charles, Anjo 45",Jorge Ben Jor,0.404,0.947,-4.692,0.149,0.615,2.95e-06,0.676,0.482,96.118
1960's,Bata Rhythm,Julio Gutierrez,0.505,0.758,-13.312,0.177,0.808,1.1e-05,0.0583,0.764,91.686
1960's,Who'll Be The Next In Line,The Kinks,0.33,0.858,-5.134,0.0552,0.052,0,0.0752,0.923,161.385
1960's,Burning Bridges,Jack Scott,0.465,0.276,-13.184,0.0242,0.809,0.000272,0.214,0.233,82.613
1960's,Here In My Heart,Al Martino,0.177,0.279,-10.951,0.0312,0.8,0.0024,0.153,0.155,82.967
1960's,"Our Man Flint: Man Does Not Live By Bread Alone - From ""Our Man Flint""",Jerry Goldsmith,0.522,0.0902,-22.234,0.0279,0.691,0.448,0.116,0.288,95.872
1960's,Marche des grooms,Michel Legrand,0.633,0.504,-11.59,0.0437,0.774,3.41e-06,0.284,0.95,123.219
1960's,Al Vent - En Directe,Raimon,0.446,0.538,-11.805,0.195,0.879,0.00229,0.952,0.786,144.075
1960's,Zero Hour,David Lindup,0.431,0.454,-14.31,0.0302,0.524,0.13,0.116,0.585,129.589
1960's,Deep River,Traditional,0.181,0.294,-15.448,0.0395,0.987,0.0085,0.113,0.0577,101.506
1960's,You Didn't Have To Be So Nice,The Lovin' Spoonful,0.638,0.622,-10.035,0.0265,0.809,0.00385,0.0416,0.871,130.354
1960's,Flower Punk,Frank Zappa,0.48,0.7,-10.989,0.209,0.0522,0,0.645,0.3,111.388
1960's,Without You,Johnny Tillotson,0.538,0.568,-5.7,0.0266,0.376,0.829,0.169,0.712,99.397
1960's,Half Heaven - Half Heartache,Gene Pitney,0.438,0.451,-8.681,0.0263,0.719,0,0.116,0.438,102.776
1960's,Aquarius,Gerald Wilson Orchestra,0.387,0.495,-8.923,0.0283,0.487,0.00814,0.112,0.58,143.993
1960's,End Titles,Jerry Goldsmith,0.193,0.2,-14.117,0.0422,0.967,0.211,0.258,0.0387,139.318
1960's,Sweet Dreams (Of You),Patsy Cline,0.321,0.0227,-22.698,0.0349,0.953,0,0.313,0.312,83.319
1960's,I Can Make It With You,Pozo Seco Singers,0.537,0.424,-11.448,0.0562,0.109,0,0.238,0.665,119.392
1960's,Alejandra,Vicente Fernández,0.379,0.276,-10.561,0.0465,0.747,0,0.186,0.521,151.211
1960's,Ballade pour toi (Ce que je cherche est en toi),Michel Polnareff,0.369,0.386,-9.105,0.03,0.866,8.37e-06,0.122,0.325,116.428
1960's,Mustang Sally,Wilson Pickett,0.725,0.327,-17.714,0.0387,0.113,0.326,0.214,0.688,110.438
1960's,"Our Man Flint: Never Mind, You'd Love It - From ""Our Man Flint""",Jerry Goldsmith,0.362,0.0719,-28.739,0.044,0.79,0.259,0.111,0.0619,98.836
1960's,Batman Theme,The Marketts,0.435,0.683,-13.837,0.0333,0.207,0.906,0.0723,0.921,146.541
1960's,Where There's Woman - Mono,Captain Beefheart & His Magic Band,0.609,0.535,-8.913,0.0519,0.357,7.27e-06,0.124,0.681,84.982
1960's,Let's Twist Again,Chubby Checker,0.604,0.709,-6.377,0.158,0.0987,0,0.0551,0.907,167.832
1960's,Just A Little Bit,Blue Cheer,0.438,0.749,-10.815,0.0852,0.038,0.829,0.0762,0.567,126.825
1960's,Só Danço Samba,Carmelia Alves,0.625,0.52,-7.911,0.0427,0.741,0,0.164,0.759,91.202
1960's,Bracelets Of Fingers,The Pretty Things,0.304,0.453,-12.143,0.045,0.124,8.67e-06,0.332,0.387,94.919
1960's,House For Everyone,Traffic,0.565,0.549,-13.023,0.0618,0.583,0,0.236,0.769,121.97
1960's,Les Alpes: Les glaciers,Jean Prodromidès,0.192,0.197,-14.803,0.0347,0.9,0.194,0.31,0.0368,113.336
1960's,Club Verde,Vicente Fernández,0.315,0.313,-9.31,0.0466,0.779,3.66e-06,0.104,0.329,174.92
1960's,Fumeux fume - Voice,Traditional,0.14,0.0282,-29.836,0.0378,0.982,0.89,0.109,0.0366,141.12
1960's,Forever,The Little Dippers,0.519,0.45,-9.133,0.0244,0.281,6.12e-06,0.152,0.549,72.115
1960's,Heart In Hand,Brenda Lee,0.651,0.172,-14.556,0.038,0.841,0.000126,0.155,0.445,107.891
1960's,Brother Love's Travelling Salvation Show,Neil Diamond,0.428,0.432,-11.58,0.0288,0.575,0.00933,0.0888,0.808,135.142
1960's,I'll Hold Out My Hand,The Clique,0.562,0.715,-8.481,0.0272,0.522,0,0.185,0.908,102.009
1960's,Ojitos Verdes,Victor Jara,0.718,0.572,-9.709,0.0603,0.903,3.37e-05,0.0816,0.684,133.386
1960's,Por Mi Culpa,Javier Solís,0.524,0.319,-10.114,0.043,0.841,5.34e-05,0.298,0.618,92.94
1960's,Las Moscas,Joan Manuel Serrat,0.484,0.412,-6.509,0.0345,0.855,0,0.135,0.772,135.355
1960's,What The World Needs Now Is Love,Jackie DeShannon,0.445,0.407,-9.501,0.0302,0.814,0,0.0964,0.531,105.7
1960's,Nylon,Lord Melody,0.502,0.666,-12.483,0.0774,0.765,2.92e-06,0.256,0.923,100.746
1960's,Shagu,Mulatu Astatke,0.494,0.632,-12.71,0.0271,0.89,0.0144,0.154,0.95,133.49
1960's,"Die Zauberflöte, K.620 / Erster Aufzug: ""Der Vogelfänger bin ich ja""",Wolfgang Amadeus Mozart,0.546,0.156,-18.601,0.0617,0.942,8.83e-06,0.226,0.466,80.106
1960's,Petticoat White (Summer Sky Blue),Bobby Vinton,0.599,0.648,-10.893,0.0301,0.456,0,0.336,0.806,105.316
1960's,Lullaby Of The Leaves,The Ventures,0.381,0.552,-15.091,0.032,0.661,0.811,0.282,0.965,159.946
1960's,There Will Never Be Another You,Bud Powell,0.579,0.332,-16.673,0.035,0.904,0.898,0.243,0.774,81.795
1960's,T'ain't Nothin' To Me,The Coasters,0.431,0.374,-11.045,0.119,0.526,1.01e-05,0.94,0.287,134.071
1960's,Eu e a Brisa / Viola Enluarada,Peter Thomas,0.275,0.304,-12.556,0.0362,0.097,0.268,0.135,0.183,168.382
1960's,I Can't Stop Dancing,Archie Bell & The Drells,0.565,0.729,-7.75,0.163,0.656,0.000147,0.0492,0.818,122.291
1960's,Baby It's You,Smith,0.595,0.471,-10.626,0.0295,0.0156,0.127,0.173,0.707,95.417
1960's,Worry,Johnny Tillotson,0.368,0.259,-11.115,0.0277,0.95,6.93e-06,0.115,0.415,82.312
1960's,Feel So Fine,Johnny Preston,0.555,0.723,-11.875,0.0536,0.683,0,0.115,0.925,169.864
1960's,Leaky Faucet,Jerry Goldsmith,0.701,0.303,-15.786,0.215,0.926,0.498,0.129,0.317,98.847
1960's,"Medley: Hark, The Herald Angels Sing / O Come All Ye Faithful - Instrumental",John Fahey,0.358,0.352,-11.467,0.04,0.717,0.895,0.328,0.808,135.425
1960's,I've Gotta Get A Message To You,Bee Gees,0.441,0.596,-6.327,0.0281,0.037,4.46e-06,0.172,0.497,83.411
1960's,If Ever I Would Leave You - Rudy Van Gelder Edition/Digital Remaster/24 Bit Mastering/1998,Kenny Dorham,0.497,0.19,-11.957,0.0342,0.98,0.908,0.0993,0.349,117.05
1960's,Hallies Jazz,Elmer Bernstein,0.586,0.213,-19.175,0.0386,0.769,0.369,0.11,0.505,139.715
1960's,Yambu - Live,Tito Rodriguez,0.459,0.61,-8.231,0.133,0.764,2.91e-06,0.11,0.865,202.036
1960's,You Never Can Tell,Chuck Berry,0.525,0.852,-9.519,0.222,0.731,5.11e-05,0.218,0.884,157.404
1960's,Oh Yeah,The Shadows Of Knight,0.658,0.405,-9.438,0.0356,0.242,6.57e-05,0.0943,0.666,119.878
1960's,Trust Us - Take 9,Captain Beefheart & His Magic Band,0.424,0.583,-9.617,0.0483,0.14,0.539,0.108,0.444,86.036
1960's,(The Lament Of The Cherokee) Indian Reservation,Don Fardon,0.805,0.473,-12.999,0.0507,0.24,0.00516,0.177,0.519,124.618
1960's,Dirty Dishes,Jerry Goldsmith,0.405,0.269,-18.225,0.048,0.944,0.975,0.141,0.116,122.153
1960's,Western générique - Version Live,Royal Philharmonic Orchestra,0.304,0.196,-20.708,0.0524,0.961,0.952,0.948,0.139,133.025
1960's,I Heard It Through The Grapevine,Marvin Gaye,0.711,0.362,-10.851,0.0382,0.272,0,0.127,0.615,117.267
1960's,Pretty Little Baby,Marvin Gaye,0.593,0.549,-6.591,0.0279,0.8,0,0.118,0.865,109.465
1960's,Allons Gai Gai Gai,John Barry,0.246,0.0378,-32.85,0.0396,0.991,0.853,0.088,0.0473,92.228
1960's,Barocco,Piero Piccioni,0.201,0.178,-16.461,0.0334,0.916,0.906,0.0565,0.0519,80.312
